rooms;latlong;floors;area;description;freeofcharge;imageUrl;sellername;sellerphone;categoryname;createat
5;47.5410485803319,19.1516419487702;1;165;;0;https://drive.google.com/file/d/1qs5XyJNnnT_meJn_qVJLwASvY1By2bVj;Fazekas Zoltán;+36 1 9929-8217;ház;2021-11-17
5;47.4010485803319,19.1536419487702;3;145;;1;https://drive.google.com/file/d/1rxOCx-iRm2I92A1KranthDq86tdM4MQi;Marok Nyikolaj;+36 1 8139-4405;ház;2021-10-13
5;47.5760485803319,19.1616419487702;4;150;;1;https://drive.google.com/file/d/1sYbvNK4_SKKq2zOIDW53lm8HCXqF7woO;Bur Kolos;+36 1 3652-1187;ház;2022-01-19
5;47.5600485803319,19.0686419487702;1;135;;1;https://drive.google.com/file/d/1she2wd47cp-DPolEjDksz4tkNwT0hova;Kolle Gina;+36 1 9907-6155;garázs;2021-10-31
5;47.4350485803319,19.1076419487702;1;135;;1;https://drive.google.com/file/d/1r9JPKeAX6BQ7fF-0fHrNqsTrr8D9JPEw;Róka Gábor;+36 1 2729-9902;garázs;2021-12-29
5;47.4210485803319,18.9906419487702;1;150;;0;https://drive.google.com/file/d/1sVIIeO80kpKhkPS3o4bk7k64_x3qMfkJ;Godz Ila;+36 1 1976-3679;ház;2021-10-05
5;47.5390485803319,19.0136419487702;0;230;;1;https://drive.google.com/file/d/1qujuTrxsUNZ7z0Y9fobfUhgHGCwyggo8;Dancs Dániel;+36 1 2541-3669;építési telek;2022-02-20
5;47.5340485803319,19.0216419487702;0;185;;1;https://drive.google.com/file/d/1suSusCdzSM4qKinfhEYdAV0cUw64oefz;Amor Ella;+36 1 6978-7676;garázs;2021-12-07
5;47.5430485803319,19.1646419487702;2;165;;1;https://drive.google.com/file/d/1rj4uO_Ewmhir-7A0IHQBOVuK9-Ef3Dyk;Resz Elek;+36 1 1399-2527;lakás;2022-02-09
5;47.4100485803319,18.9876419487702;1;205;;1;https://drive.google.com/file/d/1sufiVE60JmFdEsRQbE3pUeAM2pCM6aX5;Vagd Alma;+36 1 7446-5220;garázs;2021-10-13
2;47.4200485803319,19.0646419487702;2;65;;1;https://drive.google.com/file/d/1rNXGW2H7LG2RFcEOfIpyTP9_lFVV1NZ2;Ápry Lisa;+36 1 8413-6094;ház;2022-02-01
5;47.5010485803319,19.0936419487702;0;195;;1;https://drive.google.com/file/d/1sVT8P2AqtfmroUv5Y0oRGPMKeUiCO3UO;Tóth Zsuzsa;+36 1 3720-8653;garázs;2021-10-19
5;47.4770485803319,18.9996419487702;2;180;;1;https://drive.google.com/file/d/1qh0nIM1Gn0zrO6Wkmf7iYxcYKKKPZszZ;Bac Ilus;+36 1 1301-2730;garázs;2021-10-11
5;47.4860485803319,19.0306419487702;4;135;;1;https://drive.google.com/file/d/1rxOCx-iRm2I92A1KranthDq86tdM4MQi;Huczman Gergely;+36 1 2819-2249;mezőgazdasági terület;2022-01-29
2;47.5220485803319,19.1416419487702;4;60;;1;https://drive.google.com/file/d/1rj4uO_Ewmhir-7A0IHQBOVuK9-Ef3Dyk;Borönd Ödön;+36 1 2709-2407;építési telek;2021-10-28
4;47.5410485803319,19.0886419487702;4;145;;1;https://drive.google.com/file/d/1qdU5ynDGGx6Exc9s8oE6dfCJ1LMOx6EM;Bacskai Mihály;+36 1 4996-5351;ház;2021-10-05
5;47.3950485803319,19.1196419487702;3;180;;1;https://drive.google.com/file/d/1sDgl74Aj76rzTPwLuLL3OGVwcjZy9XX-;Rekurz Iván;+36 1 3973-7021;ház;2021-11-19
3;47.3980485803319,19.0206419487702;2;90;;1;https://drive.google.com/file/d/1q_gGeRN1CifVp1wQ_QWksnn5BAKbVOSn;Fer Enci;+36 1 6920-6507;ház;2022-02-03
5;47.5710485803319,19.1526419487702;4;140;;1;https://drive.google.com/file/d/1seI-0QF6m_LHj6dwm4gJ390EdfHZIPBM;Némethy Zsófia;+36 1 3494-2935;ház;2022-02-02
1;47.5360485803319,19.1466419487702;2;40;;1;https://drive.google.com/file/d/1slR5WaRshT0uAx2jyvXOj-JshuFACGSi;Kecskés Dániel Tamás;+36 1 1388-4882;ház;2022-01-25
4;47.5670485803319,19.1376419487702;3;80;;1;https://drive.google.com/file/d/1rYClD3Gx9y3YUkdh0rPEcRhYzku7C8Da;Egyenes Ági;+36 1 1780-7112;garázs;2021-12-12
5;47.5050485803319,19.1416419487702;1;150;;1;https://drive.google.com/file/d/1sorJiEJkSPZE7bdr8ObTEEZqMtyg1kpe;Nagy Ádám;+36 1 4504-5595;ház;2021-10-18
2;47.4110485803319,19.0116419487702;2;55;;1;https://drive.google.com/file/d/1rSdEEX2eBfO157pbSlA3O6Fq1Q0CfH7Q;Szikla Szilárd;+36 1 8618-6027;ház;2021-12-05
5;47.5380485803319,19.1786419487702;1;165;;1;https://drive.google.com/file/d/1q_gGeRN1CifVp1wQ_QWksnn5BAKbVOSn;Leskó András;+36 1 5240-3808;ház;2021-12-13
5;47.4720485803319,19.1716419487702;1;240;;1;https://drive.google.com/file/d/1rFdK0gc1KV12RBj2av3sh4TpIDrLdtDx;Bán Tamás;+36 1 9446-6211;ház;2021-11-17
4;47.4880485803319,18.9906419487702;1;120;;1;https://drive.google.com/file/d/1qc74gm94OAzCf8SlGit-B157YL8sKEH0;Lev Elek;+36 1 2451-9808;garázs;2021-12-12
2;47.5200485803319,19.1616419487702;3;45;;1;https://drive.google.com/file/d/1sufiVE60JmFdEsRQbE3pUeAM2pCM6aX5;Furi Kázmér;+36 1 9919-6448;ház;2021-12-06
5;47.5440485803319,19.0456419487702;3;110;;1;https://drive.google.com/file/d/1rgvC9WGdtVcp-sJH-DJbp7HV_33c-X7U;Bali Alexandra Mercédesz;+36 1 1575-7660;ház;2021-09-29
5;47.4310485803319,19.0226419487702;4;120;;1;https://drive.google.com/file/d/1rjna1tKJSuawRjq_8oMDl_BMe-VZ1RGp;Trab Antal;+36 1 8970-1364;ipari ingatlan;2021-11-24
